video_title,category,country_name,lifetime_duration,tweetvol,tweetsent,individualism,uncertainty_avoidance,neg_sentiment,neu_sentiment,pos_sentiment,averageRating,sequel,Drama,Horror,Mystery,Action,Adventure,Comedy,Romance,Thriller,Crime,Animation,highest_rank
13 Minutes,Films,United Kingdom,2,10,2.5,89,35,2,3,5,4.7,0,1,0,0,1,0,0,0,1,0,0,1
14 Peaks: Nothing Is Impossible,Films,United Kingdom,1,42,18,89,35,2,4,36,7.7,0,0,0,0,0,1,0,0,0,0,0,4
21 Bridges,Films,United States,1,7,2,91,46,1,4,2,6.6,0,1,0,0,1,0,0,0,0,1,0,6
21 Jump Street,Films,United States,3,30,3.6666666666666665,91,46,3,16,11,7.2,0,0,0,0,1,0,1,0,0,1,0,3
365 Days,Films,Brazil,1,145,2,38,76,7,124,14,3.3,0,1,0,0,0,0,0,1,0,0,0,5
365 Days,Films,United Kingdom,1,273,11.461538461538462,89,35,13,111,149,3.3,0,1,0,0,0,0,0,1,0,0,0,8
365 Days: This Day,Films,Brazil,3,162,0.425531914893617,38,76,47,95,20,2.6,1,1,0,0,0,0,0,1,0,0,0,1
365 Days: This Day,Films,France,3,6,0.5,71,86,2,3,1,2.6,1,1,0,0,0,0,0,1,0,0,0,1
365 Days: This Day,Films,United Kingdom,2,22,0.3333333333333333,89,35,6,14,2,2.6,1,1,0,0,0,0,0,1,0,0,0,1
365 Days: This Day,Films,United States,1,136,1.2,91,46,20,92,24,2.6,1,1,0,0,0,0,0,1,0,0,0,1
60 Days In: Season 6,TV,United States,1,60,0.24242424242424243,91,46,33,19,8,7.6,1,0,0,0,0,0,0,0,0,0,0,9
A Boy Called Christmas,Films,United States,4,28,7,91,46,2,12,14,6.7,0,1,0,0,0,1,0,0,0,0,0,3
A Castle For Christmas,Films,Brazil,2,5,1,38,76,1,3,1,5.5,0,1,0,0,0,1,1,0,0,0,0,4
A Castle For Christmas,Films,United Kingdom,2,20,2.6666666666666665,89,35,3,9,8,5.5,0,1,0,0,0,1,1,0,0,0,0,3
A Castle For Christmas,Films,United States,2,36,9.5,91,46,2,15,19,5.5,0,1,0,0,0,1,1,0,0,0,0,3
A Classic Horror Story,Films,Brazil,1,6,0.3333333333333333,38,76,3,2,1,5.7,0,1,1,1,0,0,0,0,0,0,0,5
A Madea Homecoming,Films,United States,4,68,1.2307692307692308,91,46,13,39,16,5.6,0,1,0,0,0,0,1,1,0,0,0,1
A Perfect Enemy,Films,Brazil,1,2,1,38,76,1,0,1,5.5,0,1,0,0,0,1,0,0,1,0,0,2
A Perfect Pairing,Films,Brazil,3,27,2,38,76,3,18,6,6.1,0,0,0,0,0,0,1,1,0,0,0,1
A Perfect Pairing,Films,United Kingdom,3,3,1,89,35,1,1,1,6.1,0,0,0,0,0,0,1,1,0,0,0,4
A Star Is Born,Films,France,2,46,3,71,86,5,26,15,7.6,0,1,0,0,0,0,0,1,0,0,0,4
After Life: Season 1,TV,United Kingdom,2,990,5.428571428571429,89,35,112,270,608,8.4,1,1,0,0,0,0,1,0,0,0,0,6
After Life: Season 2,TV,United Kingdom,1,990,5.419642857142857,89,35,112,271,607,8.4,1,1,0,0,0,0,1,0,0,0,0,8
After Life: Season 3,TV,United Kingdom,4,990,5.419642857142857,89,35,112,271,607,8.4,1,1,0,0,0,0,1,0,0,0,0,1
After We Fell,Films,United States,1,54,1.6923076923076923,91,46,13,19,22,4.7,0,1,0,0,0,0,0,1,0,0,0,3
Afterlife of the Party,Films,United States,2,13,8,91,46,1,4,8,5.8,0,1,0,0,0,0,1,0,0,0,0,3
Aftermath,Films,United Kingdom,2,27,0.7142857142857143,89,35,7,15,5,5.3,0,1,1,1,0,0,0,0,0,0,0,1
Aftermath,Films,United States,2,128,0.7741935483870968,91,46,31,73,24,5.3,0,1,1,1,0,0,0,0,0,0,0,4
Against The Ice,Films,United States,1,5,2,91,46,1,2,2,6.5,0,1,0,0,0,1,0,0,0,0,0,7
Alice in Borderland: Season 1,TV,France,3,11,4,71,86,1,6,4,7.7,1,1,0,1,1,0,0,0,0,0,0,9
Alice in Borderland: Season 1,TV,Mexico,1,6,1,30,82,1,4,1,7.7,1,1,0,1,1,0,0,0,0,0,0,7
Alice in Borderland: Season 1,TV,United Kingdom,1,34,2.8,89,35,5,15,14,7.7,1,1,0,1,1,0,0,0,0,0,0,10
Alive,Films,United Kingdom,1,39,18,89,35,1,20,18,6.3,0,1,1,0,1,0,0,0,0,0,0,9
All American: Season 1,TV,United States,5,1885,0.8069073783359497,91,46,637,721,514,7.6,1,1,0,0,0,0,0,0,0,0,0,6
All American: Season 2,TV,United States,1,1885,0.8069073783359497,91,46,637,720,514,7.6,1,1,0,0,0,0,0,0,0,0,0,10
All American: Season 3,TV,United States,6,1885,0.8081761006289309,91,46,636,721,514,7.6,1,1,0,0,0,0,0,0,0,0,0,1
All American: Season 4,TV,United States,5,1885,0.8069073783359497,91,46,637,721,514,7.6,1,1,0,0,0,0,0,0,0,0,0,2
All of Us Are Dead: Season 1,TV,Brazil,5,175,0.4657534246575342,38,76,73,68,34,7.5,1,1,0,0,1,0,0,0,0,0,0,1
All of Us Are Dead: Season 1,TV,France,6,22,1.4,71,86,5,10,7,7.5,1,1,0,0,1,0,0,0,0,0,0,1
All of Us Are Dead: Season 1,TV,Japan,7,6,1,46,92,1,4,1,7.5,1,1,0,0,1,0,0,0,0,0,0,1
All of Us Are Dead: Season 1,TV,Mexico,12,13,0.4,30,82,5,6,2,7.5,1,1,0,0,1,0,0,0,0,0,0,1
All of Us Are Dead: Season 1,TV,United Kingdom,5,81,0.7666666666666667,89,35,30,28,23,7.5,1,1,0,0,1,0,0,0,0,0,0,1
All of Us Are Dead: Season 1,TV,United States,5,201,0.330188679245283,91,46,106,59,35,7.5,1,1,0,0,1,0,0,0,0,0,0,1
Alpha,Films,France,1,47,1.1428571428571428,71,86,7,32,8,6.6,0,1,0,0,1,1,0,0,0,0,0,10
Alpha,Films,Mexico,1,22,0.6666666666666666,30,82,3,17,2,6.6,0,1,0,0,1,1,0,0,0,0,0,1
AlRawabi School for Girls: Season 1,TV,Brazil,1,26,1.1666666666666667,38,76,6,13,7,7.3,1,1,0,0,0,0,0,0,0,0,0,10
AlRawabi School for Girls: Season 1,TV,France,2,5,0.5,71,86,2,2,1,7.3,1,1,0,0,0,0,0,0,0,0,0,3
American Gangster,Films,United States,2,25,3.3333333333333335,91,46,3,12,10,7.8,0,1,0,0,0,0,0,0,0,1,0,5
Amores perros,Films,Mexico,1,26,1,30,82,3,20,3,8.1,0,1,0,0,0,0,0,0,1,0,0,10
An Unfinished Life,Films,United States,3,2,1,91,46,1,0,1,7,0,1,0,0,0,0,0,1,0,0,0,3
Anatomy of a Scandal: Limited Series,TV,United Kingdom,5,97,0.8717948717948718,89,35,39,24,34,7,0,1,0,0,0,0,0,0,1,0,0,1
Anatomy of a Scandal: Limited Series,TV,United States,3,60,1.2352941176470589,91,46,17,22,21,7,0,1,0,0,0,0,0,0,1,0,0,1
Anna,Films,Mexico,2,34,8,30,82,1,25,8,6.6,0,0,0,0,1,0,0,0,1,0,0,4
Aquaman,Films,United Kingdom,1,76,1.8,89,35,10,48,18,6.8,0,0,0,0,1,1,0,0,0,0,0,5
Arcane: Season 1,TV,Brazil,3,861,1.4725274725274726,38,76,182,411,268,9,1,0,0,0,1,1,0,0,0,0,1,2
Arcane: Season 1,TV,France,4,170,2.3666666666666667,71,86,30,69,71,9,1,0,0,0,1,1,0,0,0,0,1,1
Arcane: Season 1,TV,Mexico,1,129,2.4444444444444446,30,82,18,67,44,9,1,0,0,0,1,1,0,0,0,0,1,9
Arcane: Season 1,TV,United Kingdom,1,183,3.16,89,35,25,79,79,9,1,0,0,0,1,1,0,0,0,0,1,10
Arcane: Season 1,TV,United States,2,1067,3.1870503597122304,91,46,139,479,443,9,1,0,0,0,1,1,0,0,0,0,1,10
Archive 81: Season 1,TV,Brazil,1,15,5,38,76,1,9,5,7.3,0,1,1,1,0,0,0,0,0,0,0,4
Archive 81: Season 1,TV,France,3,26,1,71,86,7,12,7,7.3,0,1,1,1,0,0,0,0,0,0,0,1
Archive 81: Season 1,TV,Mexico,2,17,3,30,82,1,13,3,7.3,0,1,1,1,0,0,0,0,0,0,0,3
Archive 81: Season 1,TV,United Kingdom,2,60,1.2941176470588236,89,35,17,21,22,7.3,0,1,1,1,0,0,0,0,0,0,0,4
Archive 81: Season 1,TV,United States,3,237,0.7530864197530864,91,46,81,94,61,7.3,0,1,1,1,0,0,0,0,0,0,0,2
Army of the Dead,Films,Brazil,1,10,2,38,76,2,4,4,5.7,0,1,0,0,1,0,0,0,0,1,0,7
Army of the Dead,Films,France,1,4,1,71,86,1,2,1,5.7,0,1,0,0,1,0,0,0,0,1,0,5
Army of the Dead,Films,Mexico,1,69,0.6666666666666666,30,82,6,59,4,5.7,0,1,0,0,1,0,0,0,0,1,0,8
Army of the Dead,Films,United States,1,285,2.96,91,46,25,186,74,5.7,0,1,0,0,1,0,0,0,0,1,0,9
Army of Thieves,Films,Brazil,3,16,3,38,76,2,8,6,6.4,0,0,0,0,1,0,1,0,0,1,0,1
Army of Thieves,Films,France,4,9,1,71,86,2,5,2,6.4,0,0,0,0,1,0,1,0,0,1,0,1
Army of Thieves,Films,United Kingdom,3,29,5.666666666666667,89,35,3,9,17,6.4,0,0,0,0,1,0,1,0,0,1,0,2
Army of Thieves,Films,United States,3,123,8.166666666666666,91,46,6,68,49,6.4,0,0,0,0,1,0,1,0,0,1,0,1
Atypical: Season 4,TV,Brazil,2,86,1.5238095238095237,38,76,21,33,32,8.2,1,1,0,0,0,0,1,0,0,0,0,9
Atypical: Season 4,TV,France,1,14,1,71,86,4,6,4,8.2,1,1,0,0,0,0,1,0,0,0,0,7
Atypical: Season 4,TV,United Kingdom,3,24,5.5,89,35,2,11,11,8.2,1,1,0,0,0,0,1,0,0,0,0,4
Atypical: Season 4,TV,United States,2,116,1.619047619047619,91,46,21,61,34,8.2,1,1,0,0,0,0,1,0,0,0,0,6
Back to the Outback,Films,United States,4,10,0.6666666666666666,91,46,3,5,2,6.5,0,0,0,0,0,1,1,0,0,0,1,3
Bad Boys for Life,Films,United Kingdom,2,5,1,89,35,1,3,1,6.5,0,0,0,0,1,0,1,0,0,1,0,2
Bake Squad: Season 1,TV,United States,1,24,2.5,91,46,4,10,10,6.9,1,0,0,0,0,0,0,0,0,0,0,8
Barbecue,Films,France,2,88,5,71,86,3,70,15,6.1,0,0,0,0,0,0,1,0,0,0,0,3
Battleship,Films,United States,1,50,1.8333333333333333,91,46,6,33,11,5.8,0,0,0,0,1,1,0,0,0,0,0,5
Beauty and the Beast,Films,Mexico,1,24,16,30,82,1,7,16,7.1,0,0,0,0,0,1,0,0,0,0,0,5
Beckett,Films,Brazil,2,6,1,38,76,1,4,1,5.7,0,1,0,0,1,0,0,0,0,1,0,6
Beckett,Films,France,2,12,0.6666666666666666,71,86,3,7,2,5.7,0,1,0,0,1,0,0,0,0,1,0,3
Beckett,Films,United Kingdom,2,22,3.5,89,35,2,13,7,5.7,0,1,0,0,1,0,0,0,0,1,0,2
Beckett,Films,United States,2,321,1.45,91,46,20,272,29,5.7,0,1,0,0,1,0,0,0,0,1,0,3
Belzebuth,Films,Mexico,2,6,4,30,82,1,1,4,6,0,0,1,0,0,0,0,0,0,0,0,4
Ben Is Back,Films,United States,1,4,0.5,91,46,2,1,1,6.7,0,1,0,0,0,0,0,0,0,0,0,5
Better Call Saul: Season 5,TV,United States,3,1615,1.4192708333333333,91,46,384,674,545,8.9,1,1,0,0,0,0,0,0,0,1,0,3
Better Call Saul: Season 6,TV,United Kingdom,5,230,2.097560975609756,89,35,41,103,86,8.9,1,1,0,0,0,0,0,0,0,1,0,6
Big Mouth: Season 5,TV,United Kingdom,2,20,2.6666666666666665,89,35,3,9,8,7.9,1,0,0,0,0,0,1,1,0,0,1,6
Big Mouth: Season 5,TV,United States,2,146,1.1081081081081081,91,46,37,68,41,7.9,1,0,0,0,0,0,1,1,0,0,1,2
Big Timber: Season 1,TV,United States,1,10,3,91,46,1,6,3,6.9,1,0,0,0,0,0,0,0,0,0,0,8
Bigbug,Films,France,2,13,1,71,86,3,7,3,5.5,0,0,0,0,0,0,1,0,0,0,0,3
Black and Blue,Films,United Kingdom,2,54,4.333333333333333,89,35,3,38,13,6.4,0,0,0,0,1,0,0,0,1,0,0,6
Black Crab,Films,United States,2,13,1.5,91,46,2,8,3,5.7,0,1,0,0,1,1,0,0,0,0,0,2
Black Hawk Down,Films,United Kingdom,1,2,1,89,35,1,0,1,7.7,0,1,0,0,1,0,0,0,0,0,0,9
Blackhat,Films,United States,2,50,1.375,91,46,8,31,11,5.4,0,0,0,0,1,0,0,0,1,1,0,5
BlacKkKlansman,Films,France,1,3,2,71,86,1,0,2,7.5,0,0,0,0,0,0,1,0,0,1,0,10
Blade Runner 2049,Films,United States,2,158,1.7391304347826086,91,46,23,95,40,8,0,1,0,1,1,0,0,0,0,0,0,2
Blade: Trinity,Films,United States,1,11,0.5,91,46,4,5,2,5.8,0,0,1,0,1,0,0,0,0,0,0,10
Blindspot: Season 1,TV,Brazil,2,34,0.8461538461538461,38,76,13,10,11,7.3,1,1,0,0,1,0,0,0,0,1,0,9
Blindspot: Season 5,TV,Brazil,4,34,0.8461538461538461,38,76,13,10,11,7.3,1,1,0,0,1,0,0,0,0,1,0,3
Bling Empire: Season 2,TV,United Kingdom,1,41,0.5,89,35,22,8,11,5.8,1,0,0,0,0,0,0,0,0,0,0,5
Bling Empire: Season 2,TV,United States,2,202,0.4375,91,46,96,64,42,5.8,1,0,0,0,0,0,0,0,0,0,0,5
Blitz,Films,United Kingdom,1,49,0.4166666666666667,89,35,12,32,5,6.1,0,0,0,0,1,0,0,0,1,1,0,7
Blood Red Sky,Films,Brazil,2,8,1.5,38,76,2,3,3,6.1,0,1,0,0,1,1,0,0,0,0,0,1
Blood Red Sky,Films,France,3,4,0.5,71,86,2,1,1,6.1,0,1,0,0,1,1,0,0,0,0,0,1
Blood Red Sky,Films,Mexico,3,7,2,30,82,1,4,2,6.1,0,1,0,0,1,1,0,0,0,0,0,1
Blood Red Sky,Films,United Kingdom,2,19,1.75,89,35,4,8,7,6.1,0,1,0,0,1,1,0,0,0,0,0,1
Blood Red Sky,Films,United States,2,59,1.3529411764705883,91,46,17,19,23,6.1,0,1,0,0,1,1,0,0,0,0,0,1
Blow,Films,United States,1,112,3,91,46,11,68,33,7.5,0,1,0,0,0,0,0,0,0,1,0,9
Bohemian Rhapsody,Films,United Kingdom,3,48,8,89,35,3,21,24,7.9,0,1,0,0,0,0,0,0,0,0,0,3
Boiling Point,Films,United Kingdom,2,107,5.230769230769231,89,35,13,26,68,7.5,0,1,0,0,0,0,0,0,1,0,0,2
Borrego,Films,United States,1,7,2,91,46,1,4,2,5.3,0,0,0,0,0,0,0,0,1,0,0,4
Boruto: Naruto Next Generations: Season 1,TV,Brazil,2,18,2.3333333333333335,38,76,3,8,7,6.7,1,0,0,0,1,1,0,0,0,0,1,4
Boruto: Naruto Next Generations: Season 2,TV,Brazil,1,18,2.3333333333333335,38,76,3,8,7,6.7,1,0,0,0,1,1,0,0,0,0,1,10
Brahms: The Boy II,Films,United States,1,4,2,91,46,1,1,2,4.7,1,1,1,1,0,0,0,0,0,0,0,10
Brand New Cherry Flavor: Limited Series,TV,United Kingdom,1,34,4.666666666666667,89,35,3,17,14,7.1,0,1,1,1,0,0,0,0,0,0,0,7
Brazen,Films,United Kingdom,2,5,1,89,35,1,3,1,4.1,0,1,0,1,0,0,0,0,0,1,0,2
Brazen,Films,United States,2,26,1,91,46,5,16,5,4.1,0,1,0,1,0,0,0,0,0,1,0,1
Bridgerton: Season 1,TV,Brazil,3,756,1.089820359281437,38,76,167,407,182,7.4,1,1,0,0,0,0,0,1,0,0,0,2
Bridgerton: Season 1,TV,France,5,60,1.3333333333333333,71,86,9,39,12,7.4,1,1,0,0,0,0,0,1,0,0,0,2
Bridgerton: Season 1,TV,Mexico,4,51,1.75,30,82,8,29,14,7.4,1,1,0,0,0,0,0,1,0,0,0,3
Bridgerton: Season 1,TV,United Kingdom,4,389,2.262295081967213,89,35,61,190,138,7.4,1,1,0,0,0,0,0,1,0,0,0,3
Bridgerton: Season 1,TV,United States,4,1349,2.206422018348624,91,46,218,645,481,7.4,1,1,0,0,0,0,0,1,0,0,0,2
Bridgerton: Season 2,TV,Brazil,6,756,1.1151515151515152,38,76,165,407,184,7.4,1,1,0,0,0,0,0,1,0,0,0,1
Bridgerton: Season 2,TV,France,9,60,1.3333333333333333,71,86,9,39,12,7.4,1,1,0,0,0,0,0,1,0,0,0,1
Bridgerton: Season 2,TV,Mexico,5,51,1.75,30,82,8,29,14,7.4,1,1,0,0,0,0,0,1,0,0,0,1
Bridgerton: Season 2,TV,United Kingdom,9,389,2.262295081967213,89,35,61,190,138,7.4,1,1,0,0,0,0,0,1,0,0,0,1
Bridgerton: Season 2,TV,United States,8,1349,2.206422018348624,91,46,218,647,481,7.4,1,1,0,0,0,0,0,1,0,0,0,1
Brightburn,Films,Brazil,2,2,1,38,76,1,0,1,6.1,0,1,1,1,0,0,0,0,0,0,0,8
Britney Vs Spears,Films,France,1,10,0.25,71,86,4,5,1,6.4,0,0,0,0,0,0,0,0,0,0,0,9
Britney Vs Spears,Films,United Kingdom,1,40,0.3125,89,35,16,19,5,6.4,0,0,0,0,0,0,0,0,0,0,0,3
Britney Vs Spears,Films,United States,1,311,0.594059405940594,91,46,101,148,60,6.4,0,0,0,0,0,0,0,0,0,0,0,4
Brooklyn Nine-Nine: Season 7,TV,Brazil,1,18,1.75,38,76,4,7,7,8.4,1,0,0,0,0,0,1,0,0,1,0,6
Brotherhood: Season 1,TV,Brazil,2,49,19,38,76,1,29,19,7.7,1,1,0,0,0,0,0,0,0,1,0,6
Brotherhood: Season 2,TV,Brazil,3,49,19,38,76,1,29,19,7.7,1,1,0,0,0,0,0,0,0,1,0,2
Bruised,Films,Brazil,2,6,2,38,76,1,3,2,6.2,0,1,0,0,0,0,0,0,0,0,0,1
Bruised,Films,United Kingdom,2,15,1.4,89,35,5,3,7,6.2,0,1,0,0,0,0,0,0,0,0,0,2
Bruised,Films,United States,2,133,2.423076923076923,91,46,26,44,63,6.2,0,1,0,0,0,0,0,0,0,0,0,1
Bubble,Films,France,1,15,1.6666666666666667,71,86,3,7,5,6.3,0,0,0,0,1,1,0,0,0,0,1,9
Bubble,Films,Japan,4,39,3,46,92,1,35,3,6.3,0,0,0,0,1,1,0,0,0,0,1,1
Budapest,Films,France,2,27,1.5,71,86,2,22,3,5.4,0,0,0,0,0,0,1,0,0,0,0,3
Bumblebee,Films,Brazil,1,16,1,38,76,2,12,2,6.7,0,0,0,0,1,1,0,0,0,0,0,10
Burnt,Films,United Kingdom,2,18,0.45454545454545453,89,35,11,2,5,6.6,0,1,0,0,0,0,1,0,0,0,0,4
Business Proposal: Season 1,TV,Brazil,3,96,2.2857142857142856,38,76,14,50,32,8.1,1,1,0,0,0,0,1,1,0,0,0,3
Business Proposal: Season 1,TV,Japan,12,14,4,46,92,1,9,4,8.1,1,1,0,0,0,0,1,1,0,0,0,1
Carbon,Films,France,1,31,0.5,71,86,8,19,4,6.5,0,0,0,0,0,0,0,0,1,1,0,6
Carinha de Anjo: Season 1,TV,Brazil,35,1081,2.2413793103448274,38,76,29,987,65,7.1,1,0,0,0,0,0,0,0,0,0,0,1
Carrossel,TV,Brazil,27,251,0.5,38,76,38,194,19,6.7,0,1,0,0,0,1,1,0,0,0,0,1
Catch and Release,Films,United States,2,226,2.5172413793103448,91,46,29,124,73,5.9,0,1,0,0,0,0,1,1,0,0,0,6
Catching Killers: Season 1,TV,United Kingdom,1,4,2,89,35,1,1,2,7.1,1,0,0,1,0,0,0,0,0,1,0,10
Catching Killers: Season 2,TV,United Kingdom,2,4,2,89,35,1,1,2,7.1,1,0,0,1,0,0,0,0,0,1,0,8
Catching Killers: Season 2,TV,United States,2,18,0.5714285714285714,91,46,7,7,4,7.1,1,0,0,1,0,0,0,0,0,1,0,9
Chaos,Films,United Kingdom,1,181,0.35714285714285715,89,35,70,86,25,6.4,0,1,0,0,1,0,0,0,0,1,0,2
Chaos Walking,Films,United Kingdom,2,7,2,89,35,1,4,2,5.7,0,0,0,0,1,1,0,0,0,0,0,6
Charlie and the Chocolate Factory,Films,United States,6,21,3,91,46,2,13,6,6.7,0,0,0,0,0,1,1,0,0,0,0,6
Cheer: Season 2,TV,United Kingdom,2,45,6,89,35,4,17,24,8.1,1,0,0,0,0,0,0,0,0,0,0,3
Cheer: Season 2,TV,United States,3,664,7.525,91,46,40,323,301,8.1,1,0,0,0,0,0,0,0,0,0,0,1
Chicago Fire: Season 1,TV,United Kingdom,2,133,0.9117647058823529,89,35,34,68,31,8,1,1,0,0,1,0,0,0,0,0,0,9
Chicago Med: Season 1,TV,United Kingdom,2,24,1.6,89,35,5,11,8,7.6,1,1,0,0,0,0,0,0,0,0,0,7
Chicken Run,Films,United Kingdom,1,14,1.5,89,35,2,9,3,7.1,0,0,0,0,0,1,1,0,0,0,1,9
Chiquititas,TV,Brazil,45,188,0.6875,38,76,16,161,11,4.9,0,1,0,0,0,0,0,0,0,0,0,2
Choose or Die,Films,United Kingdom,2,10,1.3333333333333333,89,35,3,3,4,4.8,0,1,1,0,0,0,0,0,1,0,0,2
Choose or Die,Films,United States,2,18,0.6,91,46,5,10,3,4.8,0,1,1,0,0,0,0,0,1,0,0,3
Cleaner,Films,United States,3,42,4.333333333333333,91,46,3,23,13,6.1,0,0,0,0,0,0,0,0,1,0,0,2
Clickbait: Limited Series,TV,Brazil,2,73,0.5454545454545454,38,76,33,22,18,7.2,0,1,0,1,0,0,0,0,0,1,0,5
Clickbait: Limited Series,TV,France,4,10,4,71,86,1,5,4,7.2,0,1,0,1,0,0,0,0,0,1,0,2
Clickbait: Limited Series,TV,Mexico,2,26,1,30,82,8,10,8,7.2,0,1,0,1,0,0,0,0,0,1,0,8
Clickbait: Limited Series,TV,United Kingdom,6,188,0.5822784810126582,89,35,79,63,46,7.2,0,1,0,1,0,0,0,0,0,1,0,1
Clickbait: Limited Series,TV,United States,6,1149,0.41821946169772256,91,46,483,456,202,7.2,0,1,0,1,0,0,0,0,0,1,0,1
Coach Carter,Films,United States,1,20,2.3333333333333335,91,46,3,10,7,7.3,0,1,0,0,0,0,0,0,0,0,0,7
Cobra Kai: Season 1,TV,United Kingdom,1,265,4.7727272727272725,89,35,22,138,105,8.5,1,1,0,0,1,0,1,0,0,0,0,8
Cobra Kai: Season 1,TV,United States,1,1404,3.182926829268293,91,46,164,713,522,8.5,1,1,0,0,1,0,1,0,0,0,0,7
Cobra Kai: Season 2,TV,United Kingdom,1,265,4.7727272727272725,89,35,22,138,105,8.5,1,1,0,0,1,0,1,0,0,0,0,10
Cobra Kai: Season 2,TV,United States,1,1404,3.182926829268293,91,46,164,713,522,8.5,1,1,0,0,1,0,1,0,0,0,0,10
Cobra Kai: Season 3,TV,United Kingdom,1,265,4.7727272727272725,89,35,22,138,105,8.5,1,1,0,0,1,0,1,0,0,0,0,9
Cobra Kai: Season 3,TV,United States,1,1404,3.182926829268293,91,46,164,713,522,8.5,1,1,0,0,1,0,1,0,0,0,0,8
Cobra Kai: Season 4,TV,Brazil,4,241,1.6923076923076923,38,76,39,136,66,8.5,1,1,0,0,1,0,1,0,0,0,0,1
Cobra Kai: Season 4,TV,France,3,30,3,71,86,3,18,9,8.5,1,1,0,0,1,0,1,0,0,0,0,3
Cobra Kai: Season 4,TV,Mexico,4,176,2.2777777777777777,30,82,18,117,41,8.5,1,1,0,0,1,0,1,0,0,0,0,1
Cobra Kai: Season 4,TV,United Kingdom,3,265,5.0476190476190474,89,35,21,138,106,8.5,1,1,0,0,1,0,1,0,0,0,0,2
Cobra Kai: Season 4,TV,United States,4,1404,3.1707317073170733,91,46,164,712,520,8.5,1,1,0,0,1,0,1,0,0,0,0,1
CoComelon: Season 1,TV,United States,12,137,1.5909090909090908,91,46,22,80,35,4.6,1,0,0,0,0,0,0,0,0,0,1,6
CoComelon: Season 2,TV,United States,8,137,1.5909090909090908,91,46,22,80,35,4.6,1,0,0,0,0,0,0,0,0,0,1,9
CoComelon: Season 3,TV,United Kingdom,4,14,3,89,35,1,10,3,4.6,1,0,0,0,0,0,0,0,0,0,1,8
CoComelon: Season 3,TV,United States,16,137,1.5909090909090908,91,46,22,80,35,4.6,1,0,0,0,0,0,0,0,0,0,1,5
CoComelon: Season 4,TV,United States,12,137,1.6363636363636365,91,46,22,79,36,4.6,1,0,0,0,0,0,0,0,0,0,1,5
CoComelon: Season 5,TV,United States,4,137,1.5909090909090908,91,46,22,80,35,4.6,1,0,0,0,0,0,0,0,0,0,1,6
Collision,Films,United States,1,79,0.3181818181818182,91,46,22,50,7,4.2,0,1,0,0,0,0,0,0,1,1,0,10
Compadres,Films,Mexico,1,32,8,30,82,1,23,8,4.8,0,0,0,0,1,0,1,0,0,1,0,2
Constantine,Films,United Kingdom,1,18,1.5,89,35,4,8,6,7,0,0,1,0,1,0,0,0,0,0,0,9
Control Z: Season 1,TV,Mexico,2,42,0.5384615384615384,30,82,13,22,7,6.8,1,1,0,0,0,0,0,0,1,0,0,7
Control Z: Season 2,TV,Brazil,2,163,0.4888888888888889,38,76,45,96,22,6.8,1,1,0,0,0,0,0,0,1,0,0,5
Control Z: Season 2,TV,Mexico,3,42,0.5384615384615384,30,82,13,22,7,6.8,1,1,0,0,0,0,0,0,1,0,0,1
Cowboy Bebop: Season 1,TV,Brazil,1,114,2.4705882352941178,38,76,17,55,42,6.7,0,0,0,0,1,1,1,0,0,0,0,10
Cowboy Bebop: Season 1,TV,France,2,25,1,71,86,6,13,6,6.7,0,0,0,0,1,1,1,0,0,0,0,3
Cowboy Bebop: Season 1,TV,Japan,1,43,1.6,46,92,5,30,8,6.7,0,0,0,0,1,1,1,0,0,0,0,10
