video_title,tweetvol,country_name
13 Minutes,10,United Kingdom
14 Peaks: Nothing Is Impossible,42,United Kingdom
17 Again,1,United Kingdom
3 From Hell,2,United Kingdom
365 Days,273,United Kingdom
365 Days: This Day,22,United Kingdom
6 Underground,3,United Kingdom
A Castle For Christmas,20,United Kingdom
A Madea Homecoming,2,United Kingdom
A Perfect Pairing,3,United Kingdom
A Time to Kill,4,United Kingdom
A Violent Man,9,United Kingdom
Ackley Bridge: Series 3,5,United Kingdom
After Life: Season 1,990,United Kingdom
After Life: Season 2,990,United Kingdom
After Life: Season 3,990,United Kingdom
Afterlife of the Party,5,United Kingdom
Aftermath,27,United Kingdom
Against The Ice,2,United Kingdom
Alice in Borderland: Season 1,34,United Kingdom
Alive,39,United Kingdom
All of Us Are Dead: Season 1,81,United Kingdom
Anatomy of a Scandal: Limited Series,97,United Kingdom
Annabelle Comes Home,6,United Kingdom
Aquaman,76,United Kingdom
Arcane: Season 1,183,United Kingdom
Archive 81: Season 1,60,United Kingdom
Army of Thieves,29,United Kingdom
Atypical: Season 4,24,United Kingdom
Back to the Outback,4,United Kingdom
Bad Boys for Life,5,United Kingdom
Battleship,2,United Kingdom
Beckett,22,United Kingdom
Better Call Saul: Season 6,230,United Kingdom
Big Mouth: Season 5,20,United Kingdom
Big Timber: Season 1,2,United Kingdom
Black and Blue,54,United Kingdom
Black Crab,3,United Kingdom
Black Hawk Down,2,United Kingdom
Blade Runner 2049,16,United Kingdom
Bling Empire: Season 2,41,United Kingdom
Blitz,49,United Kingdom
Blood Red Sky,19,United Kingdom
Bloodshot,1,United Kingdom
Blue Story,5,United Kingdom
Bohemian Rhapsody,48,United Kingdom
Boiling Point,107,United Kingdom
Brand New Cherry Flavor: Limited Series,34,United Kingdom
Brazen,5,United Kingdom
Bridgerton: Season 1,389,United Kingdom
Bridgerton: Season 2,389,United Kingdom
Britney Vs Spears,40,United Kingdom
Bruised,15,United Kingdom
Burnt,18,United Kingdom
Carriers,1,United Kingdom
Case 39,1,United Kingdom
Catching Killers: Season 1,4,United Kingdom
Catching Killers: Season 2,4,United Kingdom
Chaos,181,United Kingdom
Chaos Walking,7,United Kingdom
Charlie's Angels,14,United Kingdom
Cheer: Season 2,45,United Kingdom
Chernobyl 1986,1,United Kingdom
Chicago Fire: Season 1,133,United Kingdom
Chicago Med: Season 1,24,United Kingdom
Chicken Run,14,United Kingdom
Choose or Die,10,United Kingdom
Clickbait: Limited Series,188,United Kingdom
Cobra Kai: Season 1,265,United Kingdom
Cobra Kai: Season 2,265,United Kingdom
Cobra Kai: Season 3,265,United Kingdom
Cobra Kai: Season 4,265,United Kingdom
CoComelon: Season 3,14,United Kingdom
Constantine,18,United Kingdom
Cowboy Bebop: Season 1,67,United Kingdom
Criminal,169,United Kingdom
Death to 2021,61,United Kingdom
Django Unchained,2,United Kingdom
Doctor Sleep,10,United Kingdom
Dolittle,1,United Kingdom
Don't Look Up,923,United Kingdom
Double Jeopardy,1789,United Kingdom
Downfall: The Case Against Boeing,10,United Kingdom
Downton Abbey: Series 1,185,United Kingdom
Downton Abbey: Series 2,185,United Kingdom
Downton Abbey: Series 3,185,United Kingdom
Downton Abbey: Series 4,185,United Kingdom
Dynasty: Season 4,62,United Kingdom
Emily in Paris: Season 1,89,United Kingdom
Emily in Paris: Season 2,89,United Kingdom
Emma.,83,United Kingdom
Falling for Figaro,6,United Kingdom
Father Christmas Is Back,8,United Kingdom
Fatherhood,81,United Kingdom
Fear of Rain,2,United Kingdom
First Kill: Season 1,12,United Kingdom
Fistful of Vengeance,2,United Kingdom
Formula 1: Drive to Survive: Season 4,6,United Kingdom
Fracture,29,United Kingdom
Friends: Season 6,3828,United Kingdom
Gangubai Kathiawadi,26,United Kingdom
Gemini Man,5,United Kingdom
God's Favorite Idiot: Season 1,4,United Kingdom
Gods of Egypt,3,United Kingdom
Gone Baby Gone,2,United Kingdom
Good Girls: Season 1,38,United Kingdom
Good Girls: Season 4,38,United Kingdom
Good on Paper,1,United Kingdom
Grace and Frankie: Season 7,61,United Kingdom
Greed,273,United Kingdom
Grown Ups,18,United Kingdom
Hairspray,85,United Kingdom
Halftime,82,United Kingdom
Hard Cell: Season 1,27,United Kingdom
Harriet,8,United Kingdom
He's All That,21,United Kingdom
Heartstopper: Season 1,891,United Kingdom
Heist: Season 1,14,United Kingdom
Hellbound: Season 1,44,United Kingdom
Home Team,10,United Kingdom
Homefront,3,United Kingdom
Hop,20,United Kingdom
How to Be Single,2,United Kingdom
Hustle,146,United Kingdom
Hypnotic,33,United Kingdom
In From the Cold: Season 1,6,United Kingdom
In Time,5,United Kingdom
Inside Job: Part 1,48,United Kingdom
Interceptor,12,United Kingdom
Intrusion,6,United Kingdom
Inventing Anna: Limited Series,116,United Kingdom
Is It Cake?: Season 1,35,United Kingdom
It Chapter Two,1,United Kingdom
Jack Whitehall: Travels with My Father: Season 5,2,United Kingdom
Jimmy Savile: A British Horror Story: Limited Series,31,United Kingdom
John Wick: Chapter 2,2,United Kingdom
Joker,237,United Kingdom
Jumanji: The Next Level,1,United Kingdom
Kate,61,United Kingdom
Keep Sweet: Pray and Obey: Limited Series,26,United Kingdom
Knuckle,1,United Kingdom
Kong: Skull Island,11,United Kingdom
Kung Fu Panda,5,United Kingdom
L.A.’s Finest: Season 1,2,United Kingdom
Last Christmas,89,United Kingdom
Last Man Down,1,United Kingdom
Legend,3949,United Kingdom
Liar: Season 1,408,United Kingdom
Life After Death with Tyler Henry: Season 1,1,United Kingdom
Little Women,19,United Kingdom
Locke & Key: Season 1,1,United Kingdom
Locke & Key: Season 2,1,United Kingdom
Lockout,2,United Kingdom
Lost in Space: Season 1,74,United Kingdom
Lost in Space: Season 3,74,United Kingdom
Love Actually,170,United Kingdom
Love Hard,19,United Kingdom
Love Is Blind: Season 1,245,United Kingdom
Love Is Blind: Season 2,245,United Kingdom
Lucifer: Season 1,81,United Kingdom
Lucifer: Season 2,81,United Kingdom
Lucifer: Season 3,81,United Kingdom
Lucifer: Season 6,81,United Kingdom
Lupin: Part 2,29,United Kingdom
Maid: Limited Series,88,United Kingdom
Man of Steel,55,United Kingdom
Man on Fire,12,United Kingdom
Man Vs Bee: Season 1,44,United Kingdom
Me Before You,7,United Kingdom
Meet the Fockers,2,United Kingdom
Meet the Parents,4,United Kingdom
Midnight in the Switchgrass,1,United Kingdom
Midnight Mass: Limited Series,251,United Kingdom
Modern Family: Season 9,22,United Kingdom
Money Heist: Part 1,322,United Kingdom
Money Heist: Part 5,322,United Kingdom
Monsters Inside: The 24 Faces of Billy Milligan: Limited Series,1,United Kingdom
Mother/Android,6,United Kingdom
Motherless Brooklyn,3,United Kingdom
Munich – The Edge of War,16,United Kingdom
My Best Friend Anne Frank,1,United Kingdom
My Little Pony: A New Generation,2,United Kingdom
My Lover My Killer: Season 1,1,United Kingdom
My Name: Season 1,18,United Kingdom
My Unorthodox Life: Season 1,17,United Kingdom
Narcos: Mexico: Season 3,24,United Kingdom
Nativity!,183,United Kingdom
Never Have I Ever: Season 1,30,United Kingdom
Never Have I Ever: Season 2,30,United Kingdom
Night Teeth,7,United Kingdom
Nightbooks,4,United Kingdom
Office Christmas Party,3,United Kingdom
On My Block: Season 4,10,United Kingdom
Once Upon a Time in Hollywood,13,United Kingdom
One for the Money,1,United Kingdom
One of Us Is Lying: Season 1,10,United Kingdom
Our Father,33,United Kingdom
Out of Death,3,United Kingdom
Outer Banks: Season 1,24,United Kingdom
Outer Banks: Season 2,24,United Kingdom
Ozark: Season 1,378,United Kingdom
Ozark: Season 2,378,United Kingdom
Ozark: Season 4,378,United Kingdom
Paddington,403,United Kingdom
Paddington 2,35,United Kingdom
Papillon,9,United Kingdom
Patriots Day,3,United Kingdom
PAW Patrol: Season 4,65,United Kingdom
PAW Patrol: Season 6,65,United Kingdom
Peaky Blinders: Season 1,1319,United Kingdom
Peppa Pig: Season 6,218,United Kingdom
PIECES OF HER: Season 1,13,United Kingdom
Piranha,3,United Kingdom
Pokémon Detective Pikachu,1,United Kingdom
Pretty Little Liars: Season 1,10,United Kingdom
Queen of the South: Season 5,59,United Kingdom
Queer Eye: Season 6,64,United Kingdom
Raising Dion: Season 1,3,United Kingdom
Raising Dion: Season 2,3,United Kingdom
Ransom,7,United Kingdom
Red Notice,150,United Kingdom
Rescued by Ruby,3,United Kingdom
Resort to Love,2,United Kingdom
Restless,9,United Kingdom
Return to Space,10,United Kingdom
Rick and Morty: Season 5,77,United Kingdom
Ricky Gervais: SuperNature,11,United Kingdom
Rush Hour,398,United Kingdom
S.W.A.T.: Season 3,82,United Kingdom
Safe: Season 1,321,United Kingdom
Save the Last Dance,1,United Kingdom
Scary Movie,33,United Kingdom
Schumacher,96,United Kingdom
Security,750,United Kingdom
See for Me,5,United Kingdom
Selling Sunset: Season 4,378,United Kingdom
Selling Sunset: Season 5,378,United Kingdom
Selling Tampa: Season 1,59,United Kingdom
Senior Year,28,United Kingdom
Sex Education: Season 1,424,United Kingdom
Sex Education: Season 2,424,United Kingdom
Sex Education: Season 3,424,United Kingdom
Sex/Life: Season 1,54,United Kingdom
Shazam!,32,United Kingdom
She's All That,10,United Kingdom
She's the Man,3,United Kingdom
Shot Caller,1,United Kingdom
Sicario,3,United Kingdom
Silent Hours,3,United Kingdom
Silverton Siege,1,United Kingdom
Single All The Way,59,United Kingdom
Snowflake Mountain: Season 1,17,United Kingdom
Solomon Kane,1,United Kingdom
Sonic the Hedgehog,175,United Kingdom
Sophie: A Murder in West Cork: Limited Series,1,United Kingdom
Space Force: Season 2,14,United Kingdom
Spider-Man,1290,United Kingdom
Spider-Man 2,23,United Kingdom
Spider-Man 3,10,United Kingdom
Spider-Man: Homecoming,16,United Kingdom
Spiderhead,16,United Kingdom
Spiral: From the Book of Saw,1,United Kingdom
Split,23,United Kingdom
Squid Game: Season 1,1471,United Kingdom
Stay Close: Limited Series,237,United Kingdom
Storks,6,United Kingdom
Stranger Things,1814,United Kingdom
Stranger Things 2,1814,United Kingdom
Stranger Things 3,1814,United Kingdom
Stranger Things 4,1814,United Kingdom
Suicide Squad,219,United Kingdom
Superstore: Season 6,51,United Kingdom
Sweet Girl,17,United Kingdom
Sweet Magnolias: Season 2,8,United Kingdom
Sweet Tooth: Season 1,116,United Kingdom
Taboo: Season 1,72,United Kingdom
Texas Chainsaw Massacre,93,United Kingdom
The Adam Project,96,United Kingdom
The Addams Family,30,United Kingdom
The Amazing Spider-Man,19,United Kingdom
The Amazing Spider-Man 2,8,United Kingdom
The Baby-Sitters Club: Season 2,1,United Kingdom
The Blind Side,6,United Kingdom
The Bubble,26,United Kingdom
The Chair: Season 1,41,United Kingdom
The Chestnut Man: Season 1,27,United Kingdom
The Christmas Chronicles,2,United Kingdom
The Circle: Season 4,32,United Kingdom
The Cook of Castamar: Season 1,3,United Kingdom
The Cuphead Show!: Season 1,6,United Kingdom
The Deceived: Series 1,4,United Kingdom
The Deep End of the Ocean,1,United Kingdom
The Defeated: Season 1,3,United Kingdom
The Departed,3,United Kingdom
The Emoji Movie,1,United Kingdom
The Forgotten Battle,7,United Kingdom
The Gentlemen,24,United Kingdom
The Girl Next Door,2,United Kingdom
The Girl with the Dragon Tattoo,1,United Kingdom
The Good Liar,5,United Kingdom
The Guilty,36,United Kingdom
The Harder They Fall,100,United Kingdom
The Holiday,106,United Kingdom
The Hunt,13,United Kingdom
The In Between,5,United Kingdom
The Invisible Man,12,United Kingdom
The Island,18,United Kingdom
The Karate Kid,9,United Kingdom
The King of Staten Island,5,United Kingdom
The Kissing Booth 3,9,United Kingdom
The Kitchen,5,United Kingdom
The Last Kingdom: Season 5,70,United Kingdom
The Ledge,2,United Kingdom
The Legend of Tarzan,2,United Kingdom
The Lego Batman Movie,2,United Kingdom
The Lincoln Lawyer: Season 1,22,United Kingdom
The Lost Daughter,51,United Kingdom
The Magnificent Seven,5,United Kingdom
The Man from Toronto,6,United Kingdom
The Matrix,216,United Kingdom
The Matrix Reloaded,2,United Kingdom
The Missing: Season 1,10,United Kingdom
The Missing: Season 2,10,United Kingdom
The Mule,1,United Kingdom
The Next Three Days,1,United Kingdom
The Paedophile Hunter,3,United Kingdom
The Peacemaker,1,United Kingdom
The Power of the Dog,102,United Kingdom
The Puppet Master: Hunting the Ultimate Conman: Season 1,1,United Kingdom
The Royals: Season 1,23,United Kingdom
The Salisbury Poisonings: Season 1,3,United Kingdom
The Secret Life of Pets,1,United Kingdom
The Secret: Season 1,29,United Kingdom
The Serpent: Limited Series,10,United Kingdom
The Seven Deadly Sins: Dragon's Judgement,2,United Kingdom
The Shack,3,United Kingdom
The Silencing,1,United Kingdom
The Silent Sea: Season 1,25,United Kingdom
The Sinner: Season 4: Percy,25,United Kingdom
The Staircase: Season 1,67,United Kingdom
The Starling,8,United Kingdom
The Stranger: Limited Series,7,United Kingdom
The Tinder Swindler,86,United Kingdom
The Ultimatum: Marry or Move On: Season 1,5,United Kingdom
The Umbrella Academy: Season 1,44,United Kingdom
The Umbrella Academy: Season 2,44,United Kingdom
The Umbrella Academy: Season 3,44,United Kingdom
The Unforgivable,28,United Kingdom
The Weekend Away,10,United Kingdom
The Witcher: Nightmare of the Wolf,3,United Kingdom
The Witcher: Season 1,262,United Kingdom
The Witcher: Season 2,262,United Kingdom
The Woman in the House Across the Street from the Girl in the Window: Season 1,20,United Kingdom
There's Someone Inside Your House,4,United Kingdom
Through My Window,1,United Kingdom
Tiger King 2,60,United Kingdom
Titans: Season 3,228,United Kingdom
Tomb Raider,237,United Kingdom
Too Hot to Handle: Season 2,74,United Kingdom
Too Hot to Handle: Season 3,74,United Kingdom
Top Boy: Season 1,133,United Kingdom
Top Boy: Season 2,133,United Kingdom
Trollhunters: Rise of the Titans,3,United Kingdom
True Story: Limited Series,575,United Kingdom
Turning Point: 9/11 and the War on Terror: Season 1,5,United Kingdom
Underworld,27,United Kingdom
Unfaithful,3,United Kingdom
Van Helsing: Season 5,16,United Kingdom
Vendetta,20,United Kingdom
Vikings: Valhalla: Season 1,33,United Kingdom
Villain,32,United Kingdom
Virgin River: Season 1,40,United Kingdom
Virgin River: Season 3,40,United Kingdom
Vivo,17,United Kingdom
Wanderlust,825,United Kingdom
Welcome to Eden: Season 1,2,United Kingdom
What Happens in Vegas,1,United Kingdom
When Missing Turns to Murder: Season 1,1,United Kingdom
Widows,16,United Kingdom
Wild Bill,5,United Kingdom
Windfall,16,United Kingdom
Workin' Moms: Season 6,12,United Kingdom
World Trade Center,52,United Kingdom
Worst Roommate Ever: Season 1,18,United Kingdom
Worth,37,United Kingdom
Wrong Turn,16,United Kingdom
Yara,4,United Kingdom
You Don't Know Me: Season 1,78,United Kingdom
You: Season 1,462,United Kingdom
You: Season 2,462,United Kingdom
You: Season 3,462,United Kingdom
Young Sheldon: : Season 1,7,United Kingdom
Young Sheldon: : Season 2,7,United Kingdom
Young Sheldon: : Season 3,7,United Kingdom
Zombieland: Double Tap,2,United Kingdom
